ags,55198913,8382,-1220,-786,-48,-145,-1187
ags,55198938,8353,-1273,-671,-5,100,2298
ags,55198963,8592,-1144,-1035,-15,234,5723
ags,55198988,9190,-1095,-1113,83,158,8990
ags,55199013,9986,-949,-830,133,175,12029
ags,55199038,10765,-900,-664,148,409,14753
ags,55199063,11527,-687,-957,151,548,17073
ags,55199088,12264,-536,-1253,191,447,18907
ags,55199113,12886,-345,-925,208,408,20211
ags,55199138,13233,-24,-654,227,567,20925
ags,55199163,13250,156,-859,229,675,21029
ags,55199188,13026,210,-1284,217,610,20498
ags,55199213,12574,476,-1087,176,455,19383
ags,55199238,11885,718,-742,173,471,17707
ags,55199263,10982,864,-862,140,548,15540
ags,55199288,10115,974,-1209,120,400,12920
ags,55199313,9381,1045,-1082,63,178,9985
ags,55199338,8802,1162,-723,-23,107,6776
ags,55199363,8377,1231,-837,-22,155,3422
ags,55199388,8201,1194,-1116,-62,34,-68
ags,55199413,8358,1148,-1148,-157,-217,-3513
ags,55199438,8819,1153,-789,-203,-290,-6906
ags,55199463,9371,1045,-728,-173,-242,-10108
ags,55199488,10067,991,-1065,-261,-368,-13042
ags,55199513,10941,830,-1072,-292,-572,-15629
ags,55199538,11827,642,-830,-300,-605,-17803
ags,55199563,12508,474,-752,-324,-555,-19472
ags,55199588,13016,318,-1047,-327,-544,-20571
ags,55199613,13221,103,-1148,-350,-658,-21042
ags,55199638,13248,-71,-877,-358,-669,-20913
ags,55199663,12891,-358,-733,-329,-534,-20189
ags,55199688,12283,-519,-996,-315,-447,-18894
ags,55199713,11541,-770,-1101,-302,-462,-17042
ags,55199738,10772,-919,-964,-240,-487,-14713
ags,55199763,9942,-1071,-745,-221,-327,-11985
ags,55199788,9227,-1078,-928,-203,-150,-8832
ags,55199813,8716,-1158,-1101,-144,-149,-5668
ags,55199838,8358,-1266,-972,-67,-134,-2266
ags,55199863,8380,-1202,-652,-50,10,1205
ags,55199888,8533,-1200,-925,-12,189,4652
ags,55199913,9039,-1102,-1040,33,197,7958
ags,55199938,9730,-1002,-952,100,192,11066
ags,55199963,10516,-917,-720,143,307,13865
ags,55199988,11273,-746,-869,161,497,16321
ags,55200013,11993,-565,-1101,194,513,18310
ags,55200038,12769,-404,-967,216,465,19761
ags,55200063,13111,-170,-896,223,491,20675
ags,55200088,13262,71,-820,209,634,20943
ags,55200113,13011,252,-1033,240,634,20625
ags,55200138,12650,391,-1189,217,517,19693
ags,55200163,12066,584,-825,158,468,18193
ags,55200188,11329,794,-679,161,491,16162
ags,55200213,10418,847,-935,124,451,13705
ags,55200238,9554,1026,-1174,46,313,10867
ags,55200263,8951,1113,-857,26,142,7735
ags,55200288,8423,1199,-791,-6,123,4417
ags,55200313,8206,1135,-913,-54,78,950
ags,55200338,8292,1175,-984,-126,-94,-2506
ags,55200363,8665,1111,-901,-159,-270,-5877
ags,55200388,9193,1104,-762,-208,-299,-9032
ags,55200413,9898,935,-916,-229,-351,-12123
ags,55200438,10709,906,-1004,-256,-465,-14823
ags,55200463,11588,764,-925,-345,-596,-17107
ags,55200488,12183,532,-796,-316,-595,-18922
ags,55200513,12928,332,-920,-318,-560,-20194
ags,55200538,13126,208,-1126,-363,-577,-20847
ags,55200563,13231,-66,-982,-328,-657,-20932
ags,55200588,13011,-267,-918,-325,-610,-20397
ags,55200613,12481,-453,-859,-309,-470,-19251
ags,55200638,11812,-702,-1030,-325,-450,-17552
ags,55200663,10977,-880,-972,-268,-460,-15400
ags,55200688,10137,-970,-796,-222,-383,-12671
ags,55200713,9395,-1110,-779,-194,-235,-9735
ags,55200738,8848,-1161,-928,-155,-130,-6527
ags,55200763,8423,-1215,-1018,-79,-130,-3164
ags,55200788,8336,-1239,-769,-58,-89,312
ags,55200813,8465,-1202,-818,5,97,3758
ags,55200838,8941,-1124,-1021,32,204,7093
ags,55200863,9515,-1122,-989,81,187,10247
ags,55200888,10211,-968,-881,153,267,13139
ags,55200913,11092,-826,-837,156,397,15673
ags,55200938,11834,-668,-982,184,488,17778
ags,55200963,12520,-455,-1104,198,488,19373
ags,55200988,13055,-267,-903,211,471,20396
ags,55201013,13282,-29,-735,229,563,20840
ags,55201038,13167,217,-960,218,616,20681
ags,55201063,12798,435,-1035,198,562,19873
ags,55201088,12220,564,-942,200,495,18543
ags,55201113,11480,759,-791,160,474,16653
ags,55201138,10714,816,-945,105,471,14321
ags,55201163,9788,1040,-1091,102,358,11565
ags,55201188,9058,1113,-1065,38,190,8522
ags,55201213,8624,1138,-764,-31,107,5253
ags,55201238,8287,1140,-891,-59,109,1844
ags,55201263,8243,1116,-911,-102,-36,-1619
ags,55201288,8494,1111,-913,-143,-199,-5001
ags,55201313,9092,1074,-776,-195,-286,-8323
ags,55201338,9786,1004,-764,-188,-323,-11320
ags,55201363,10330,916,-1018,-256,-415,-14094
ags,55201388,11370,689,-1011,-272,-547,-16493
ags,55201413,12105,601,-881,-323,-583,-18396
ags,55201438,12664,398,-767,-305,-552,-19791
ags,55201463,13118,222,-1047,-331,-576,-20621
ags,55201488,13238,20,-984,-329,-606,-20865
ags,55201513,13077,-153,-923,-339,-611,-20474
ags,55201538,12571,-414,-916,-312,-543,-19497
ags,55201563,11981,-565,-925,-307,-456,-17917
ags,55201588,11209,-839,-994,-271,-434,-15904
ags,55201613,10352,-953,-964,-235,-412,-13386
ags,55201638,9600,-1041,-923,-215,-292,-10555
ags,55201663,9024,-1180,-923,-144,-160,-7427
ags,55201688,8516,-1222,-906,-120,-105,-4120
ags,55201713,8321,-1227,-916,-50,-89,-703
ags,55201738,8458,-1183,-906,-1,51,2734
ags,55201763,8763,-1166,-867,22,191,6105
ags,55201788,9337,-1088,-920,67,230,9306
ags,55201813,9996,-1085,-984,120,245,12272
ags,55201838,10862,-831,-855,176,364,14897
ags,55201863,11605,-670,-920,162,472,17109
ags,55201888,12330,-468,-1069,180,505,18859
ags,55201913,12899,-284,-940,216,497,20053
ags,55201938,13235,-56,-859,221,527,20673
ags,55201963,13135,227,-928,217,588,20670
ags,55201988,12842,359,-1030,188,592,20086
ags,55202013,12349,579,-1069,186,510,18907
ags,55202038,11697,737,-969,145,462,17160
ags,55202063,10799,872,-845,140,440,14956
ags,55202088,9974,938,-899,117,388,12348
ags,55202113,9219,1126,-979,52,257,9396
ags,55202138,8748,1128,-894,20,141,6218
ags,55202163,8343,1153,-774,-26,66,2855
ags,55202188,8260,1155,-899,-86,2,-581
ags,55202213,8521,1126,-986,-95,-147,-3987
ags,55202238,8807,1040,-920,-158,-272,-7296
ags,55202263,9420,1060,-896,-230,-344,-10423
ags,55202288,10267,918,-960,-250,-384,-13260
ags,55202313,11116,813,-1145,-274,-477,-15741
ags,55202338,11890,650,-952,-328,-595,-17774
ags,55202363,12530,515,-845,-341,-588,-19355
ags,55202388,12982,252,-982,-328,-602,-20341
ags,55202413,13555,198,-916,-381,-589,-20767
ags,55202438,13131,-79,-991,-389,-722,-20359
ags,55202463,12828,-468,-989,-341,-603,-19645
ags,55202488,12281,-533,-916,-309,-453,-18335
ags,55202513,11470,-746,-1008,-279,-406,-16442
ags,55202538,10560,-885,-1025,-227,-397,-14126
ags,55202563,9893,-1041,-935,-212,-347,-11363
ags,55202588,9110,-1146,-801,-157,-209,-8306
ags,55202613,8738,-1234,-984,-102,-101,-5051
ags,55202638,8340,-1281,-913,25,-36,-1706
ags,55202663,8646,-1561,-913,307,-86,1760
ags,55202688,8594,-1200,-786,133,112,5136
ags,55202713,9044,-1112,-789,98,252,8374
ags,55202738,9561,-746,-859,48,298,11351
ags,55202763,11424,-1823,-1694,127,285,14080
ags,55202788,12359,-1456,-1550,240,592,16548
ags,55202813,11829,-441,-1179,247,549,18311
ags,55202838,12435,-424,-1079,102,552,19566
ags,55202863,12933,-150,-982,376,504,20364
ags,55202888,13131,88,-913,98,563,20607
ags,55202913,12999,254,-908,300,572,20210
ags,55202938,12469,476,-1033,116,575,19218
ags,55202963,11829,737,-996,201,499,17631
ags,55202988,11021,799,-869,153,440,15577
ags,55203013,10181,945,-899,79,369,13045
ags,55203038,9507,1050,-928,109,304,10210
ags,55203063,8870,1057,-996,13,170,7090
ags,55203088,8443,1077,-816,-38,49,3799
ags,55203113,8345,1155,-864,-70,-19,396
ags,55203138,8394,1089,-920,-96,-110,-3029
ags,55203163,8685,1148,-899,-174,-219,-6349
ags,55203188,9290,1016,-962,-208,-320,-9534
ags,55203213,9979,965,-872,-238,-384,-12449
ags,55203238,10814,835,-920,-296,-464,-15033
ags,55203263,11617,708,-999,-289,-518,-17197
ags,55203288,12242,508,-933,-322,-589,-18898
ags,55203313,12774,381,-862,-350,-599,-20052
ags,55203338,13082,54,-845,-346,-596,-20593
ags,55203363,13065,-79,-955,-341,-575,-20550
ags,55203388,12779,-275,-947,-315,-597,-19913
ags,55203413,12259,-497,-891,-318,-537,-18716
ags,55203438,11668,-687,-986,-274,-439,-16977
ags,55203463,10848,-853,-957,-269,-400,-14738
ags,55203488,10010,-1007,-911,-244,-326,-11983
ags,55203513,9354,-1044,-986,-189,-273,-8916
ags,55203538,8765,-1144,-913,-121,-147,-5817
ags,55203563,8450,-1198,-942,-83,-53,-2481
ags,55203588,8414,-1207,-906,-27,6,919
ags,55203613,8629,-1237,-923,36,83,4300
ags,55203638,8924,-1149,-869,43,197,7560
ags,55203663,9725,-1073,-884,94,259,10636
ags,55203688,10357,-873,-964,142,324,13431
ags,55203713,11192,-736,-930,174,400,15869
ags,55203738,11920,-533,-891,186,436,17841
ags,55203763,12557,-453,-950,188,520,19318
ags,55203788,13035,-133,-1016,218,532,20241
ags,55203813,13204,47,-986,208,555,20566
ags,55203838,13045,252,-879,215,534,20285
ags,55203863,12593,369,-1004,208,543,19386
ags,55203888,11981,630,-1028,182,511,17964
ags,55203913,11248,799,-918,142,454,16025
ags,55203938,10425,879,-842,104,395,13626
ags,55203963,9730,1004,-952,74,311,10863
ags,55203988,9068,1074,-938,20,217,7823
ags,55204013,8546,1070,-872,-26,130,4576
ags,55204038,8323,1148,-913,-51,-2,1205
ags,55204063,8333,1155,-899,-86,-65,-2187
ags,55204088,8665,1128,-867,-154,-181,-5532
ags,55204113,9168,1074,-855,-164,-280,-8860
ags,55204138,9835,908,-1011,-257,-387,-11726
ags,55204163,10604,908,-952,-230,-436,-14397
ags,55204188,11485,728,-942,-278,-512,-16657
ags,55204213,12132,496,-974,-313,-576,-18442
ags,55204238,12752,401,-852,-322,-610,-19715
ags,55204263,13048,142,-884,-338,-592,-20431
ags,55204288,13077,3,-964,-338,-602,-20545
ags,55204313,12886,-201,-920,-349,-577,-20026
ags,55204338,12435,-450,-986,-303,-559,-18978
ags,55204363,11746,-631,-842,-272,-466,-17336
ags,55204388,10943,-834,-982,-245,-408,-15230
ags,55204413,10211,-919,-859,-209,-348,-12700
ags,55204438,9500,-1105,-947,-193,-279,-9848
ags,55204463,8912,-1205,-772,-144,-195,-6714
ags,55204488,8538,-1151,-837,-101,-98,-3396
ags,55204513,8345,-1266,-808,-42,-23,-9
ags,55204538,8475,-1149,-933,-26,54,3367
ags,55204563,8904,-1156,-894,35,133,6659
ags,55204588,9432,-980,-974,62,262,9789
ags,55204613,10137,-961,-1057,126,294,12641
ags,55204638,10965,-866,-837,148,356,15167
ags,55204663,11766,-653,-962,169,430,17275
ags,55204688,12398,-431,-857,183,496,18878
ags,55204713,12889,-275,-1008,198,542,19947
ags,55204738,13035,-34,-1004,206,558,20431
ags,55204763,12996,176,-967,204,553,20295
ags,55204788,12742,379,-872,195,570,19613
ags,55204813,12125,589,-989,176,517,18325
ags,55204838,11441,725,-920,151,443,16548
ags,55204863,10599,879,-942,143,404,14263
ags,55204888,9839,965,-852,82,351,11599
ags,55204913,9158,1021,-908,35,257,8641
ags,55204938,8624,1118,-923,15,154,5429
ags,55204963,8362,1153,-952,-49,35,2109
ags,55204988,8328,1192,-945,-121,-74,-1277
ags,55205013,8528,1126,-930,-137,-156,-4638
ags,55205038,9058,1055,-957,-195,-273,-7874
ags,55205063,9586,989,-906,-243,-365,-10882
ags,55205088,10384,857,-940,-245,-425,-13647
ags,55205113,11160,742,-945,-276,-470,-16006
ags,55205138,11893,664,-1040,-318,-557,-17931
ags,55205163,12537,447,-938,-315,-598,-19360
ags,55205188,12940,188,-986,-340,-605,-20222
ags,55205213,13111,49,-962,-325,-576,-20473
ags,55205238,12943,-221,-877,-331,-561,-20140
ags,55205263,12571,-402,-967,-309,-541,-19226
ags,55205288,11888,-519,-886,-314,-507,-17739
ags,55205313,11192,-780,-916,-278,-402,-15787
ags,55205338,10425,-909,-867,-247,-353,-13352
ags,55205363,9654,-1007,-913,-195,-302,-10578
ags,55205388,9107,-1083,-874,-174,-228,-7548
ags,55205413,8611,-1154,-947,-113,-114,-4275
ags,55205438,8421,-1183,-920,-64,-61,-919
ags,55205463,8472,-1202,-913,-21,43,2460
ags,55205488,8802,-1090,-933,40,129,5757
ags,55205513,9273,-1085,-938,73,207,8934
ags,55205538,9959,-980,-874,101,298,11849
ags,55205563,10706,-839,-901,152,369,14464
ags,55205588,11487,-656,-911,172,414,16656
ags,55205613,12247,-438,-806,195,454,18405
ags,55205638,12755,-309,-989,206,515,19626
ags,55205663,13060,-54,-979,227,539,20269
ags,55205688,12952,91,-962,220,561,20320
ags,55205713,12769,337,-906,217,542,19754
ags,55205738,12298,493,-872,172,511,18619
ags,55205763,11683,652,-1008,165,470,16951
ags,55205788,10889,850,-1021,111,416,14828
ags,55205813,10098,925,-823,65,345,12299
ags,55205838,9344,1138,-947,49,260,9413
ags,55205863,8790,1038,-920,-12,156,6283
ags,55205888,8421,1201,-903,-34,76,2988
ags,55205913,8338,1126,-920,-76,-26,-377
ags,55205938,8443,1135,-886,-142,-115,-3729
ags,55205963,8865,1082,-908,-191,-223,-7012
ags,55205988,9415,987,-962,-208,-339,-10072
ags,55206013,10172,899,-903,-230,-415,-12885
ags,55206038,11028,750,-869,-293,-473,-15335
ags,55206063,11732,613,-999,-282,-544,-17393
ags,55206088,12401,506,-974,-332,-586,-18951
ags,55206113,12845,247,-974,-322,-584,-19944
ags,55206138,13074,-7,-862,-342,-583,-20374
ags,55206163,13008,-75,-913,-351,-601,-20193
ags,55206188,12645,-421,-938,-350,-563,-19437
ags,55206213,12127,-494,-906,-300,-499,-18100
ags,55206238,11463,-773,-972,-283,-418,-16262
ags,55206263,10611,-892,-911,-254,-374,-13955
ags,55206288,9837,-1012,-850,-208,-293,-11289
ags,55206313,9173,-1088,-925,-159,-242,-8184
ags,55206338,8724,-1102,-857,-126,-150,-5002
ags,55206363,8421,-1134,-850,-57,-54,-1700
ags,55206388,8445,-1202,-896,-43,27,1694
ags,55206413,8697,-1173,-884,30,88,5025
ags,55206438,9183,-1054,-850,56,187,8209
ags,55206463,9835,-949,-867,103,261,11172
ags,55206488,10577,-814,-906,134,333,13838
ags,55206513,11292,-653,-913,172,400,16150
ags,55206538,12098,-531,-764,178,472,17986
ags,55206563,12645,-370,-967,220,513,19315
ags,55206588,12928,-114,-947,216,551,20097
ags,55206613,13084,105,-952,197,532,20264
ags,55206638,12794,261,-925,195,539,19856
ags,55206663,12366,454,-918,185,534,18850
ags,55206688,11736,601,-847,191,501,17309
ags,55206713,10958,799,-960,114,417,15267
ags,55206738,10220,918,-850,101,376,12794
ags,55206763,9476,938,-928,83,271,10007
ags,55206788,8934,1060,-881,10,192,6959
ags,55206813,8521,1079,-879,-42,81,3702
ags,55206838,8336,1111,-1028,-52,-5,374
ags,55206863,8426,1133,-864,-124,-121,-2996
ags,55206888,8817,1067,-935,-191,-199,-6268
ags,55206913,9349,1008,-935,-184,-317,-9400
ags,55206938,10086,894,-935,-256,-392,-12232
ags,55206963,10818,838,-874,-283,-447,-14767
ags,55206988,11595,584,-1004,-315,-514,-16883
ags,55207013,12161,530,-908,-312,-567,-18551
ags,55207038,12737,261,-979,-315,-601,-19680
ags,55207063,12916,76,-957,-378,-594,-20234
ags,55207088,12979,-96,-945,-322,-576,-20184
ags,55207113,12698,-311,-1040,-338,-550,-19552
ags,55207138,12230,-487,-967,-295,-496,-18368
ags,55207163,11485,-660,-913,-258,-453,-16622
ags,55207188,10804,-839,-979,-251,-383,-14423
ags,55207213,9962,-1019,-947,-213,-323,-11836
ags,55207238,9368,-1034,-1008,-195,-248,-9037
ags,55207263,8885,-1119,-942,-119,-180,-5795
ags,55207288,8528,-1178,-881,-86,-68,-2518
ags,55207313,8421,-1205,-899,-33,4,831
ags,55207338,8599,-1176,-969,-5,70,4136
ags,55207363,9002,-1100,-798,62,175,7374
ags,55207388,9617,-985,-899,82,255,10373
ags,55207413,10389,-866,-920,144,328,13135
ags,55207438,11199,-758,-879,154,378,15526
ags,55207463,11873,-548,-899,196,423,17477
ags,55207488,12440,-407,-886,188,491,18950
ags,55207513,12857,-111,-920,204,524,19859
ags,55207538,12979,69,-903,191,533,20174
ags,55207563,12901,249,-1004,217,556,19900
ags,55207588,12496,398,-920,184,559,19055
ags,55207613,11959,645,-982,170,506,17658
ags,55207638,11192,723,-923,162,433,15764
ags,55207663,10511,896,-952,113,395,13415
ags,55207688,9669,1018,-967,56,289,10708
ags,55207713,9058,1123,-913,37,207,7712
ags,55207738,8604,1048,-925,-21,111,4493
ags,55207763,8358,1082,-911,-86,9,1198
ags,55207788,8450,1172,-767,-118,-99,-2149
ags,55207813,8690,1055,-855,-141,-171,-5431
ags,55207838,9151,1062,-842,-208,-282,-8548
ags,55207863,9822,991,-982,-231,-370,-11488
ags,55207888,10604,850,-933,-254,-445,-14102
ags,55207913,11353,701,-864,-297,-494,-16364
ags,55207938,11990,569,-920,-289,-551,-18114
ags,55207963,12589,300,-1028,-317,-595,-19376
ags,55207988,12945,220,-974,-349,-599,-20068
ags,55208013,12967,-36,-916,-310,-588,-20142
ags,55208038,12759,-253,-960,-340,-569,-19681
ags,55208063,12357,-448,-896,-304,-539,-18608
ags,55208088,11695,-660,-864,-272,-474,-17006
ags,55208113,11021,-824,-942,-247,-412,-14948
ags,55208138,10174,-868,-974,-227,-345,-12452
ags,55208163,9505,-1056,-938,-182,-236,-9623
ags,55208188,8929,-1134,-877,-142,-195,-6568
ags,55208213,8470,-1202,-825,-108,-86,-3332
ags,55208238,8360,-1220,-923,-46,-22,5
ags,55208263,8543,-1198,-969,-7,68,3330
ags,55208288,8900,-1071,-864,37,162,6575
ags,55208313,9451,-1000,-889,70,241,9631
ags,55208338,10145,-922,-957,102,307,12438
ags,55208363,10914,-834,-837,147,379,14895
ags,55208388,11668,-616,-881,178,417,16955
ags,55208413,12337,-377,-962,182,478,18549
ags,55208438,12781,-309,-1008,193,519,19609
ags,55208463,12950,-84,-947,220,535,20064
ags,55208488,12925,154,-950,199,545,19921
ags,55208513,12559,391,-918,186,546,19224
ags,55208538,12039,515,-984,158,510,17960
ags,55208563,11370,645,-906,136,470,16185
ags,55208588,10572,811,-1104,121,396,13960
ags,55208613,9876,945,-1030,99,352,11346
ags,55208638,9224,1021,-828,44,243,8451
ags,55208663,8699,1028,-886,11,142,5280
ags,55208688,8384,1118,-840,-38,49,2012
ags,55208713,8348,1052,-952,-91,-64,-1326
ags,55208738,8572,1096,-957,-160,-147,-4616
ags,55208763,9085,1089,-930,-163,-263,-7793
ags,55208788,9632,945,-967,-208,-355,-10755
ags,55208813,10430,906,-925,-276,-447,-13428
ags,55208838,11165,774,-1013,-289,-493,-15746
ags,55208863,11861,550,-935,-318,-575,-17634
ags,55208888,12520,396,-972,-341,-561,-19015
ags,55208913,12850,200,-972,-322,-582,-19836
ags,55208938,12955,39,-938,-322,-553,-20110
ags,55208963,12784,-231,-945,-292,-561,-19764
ags,55208988,12476,-377,-964,-316,-513,-18845
ags,55209013,11807,-551,-935,-273,-508,-17383
ags,55209038,11121,-780,-945,-264,-401,-15432
ags,55209063,10391,-949,-957,-232,-389,-13058
ags,55209088,9671,-1029,-952,-202,-287,-10310
ags,55209113,9100,-1127,-789,-167,-216,-7321
ags,55209138,8670,-1207,-913,-122,-118,-3976
ags,55209163,8402,-1232,-818,-72,-26,-669
ags,55209188,8546,-1234,-901,-28,56,2641
ags,55209213,8839,-1080,-772,21,137,5876
ags,55209238,9354,-1044,-952,72,203,8970
ags,55209263,9966,-1022,-935,82,268,11845
ags,55209288,10777,-800,-967,156,343,14374
ags,55209313,11483,-641,-920,187,406,16490
ags,55209338,12195,-450,-935,189,480,18170
ags,55209363,12674,-358,-911,184,504,19308
ags,55209388,12913,-153,-989,198,517,19900
ags,55209413,12928,100,-969,211,545,19924
ags,55209438,12579,352,-933,185,554,19343
ags,55209463,12191,510,-955,174,499,18175
ags,55209488,11505,674,-999,162,452,16503
ags,55209513,10760,813,-991,130,420,14380
ags,55209538,9976,987,-896,106,338,11828
ags,55209563,9359,982,-952,24,249,9008
ags,55209588,8792,1065,-920,-6,165,5911
ags,55209613,8494,1084,-913,-44,64,2661
ags,55209638,8355,1138,-884,-88,-39,-648
ags,55209663,8563,1148,-957,-144,-141,-3948
ags,55209688,8892,1035,-899,-154,-247,-7139
ags,55209713,9525,1050,-906,-234,-334,-10122
ags,55209738,10220,911,-928,-231,-392,-12864
ags,55209763,10950,769,-957,-244,-464,-15249
ags,55209788,11680,623,-957,-312,-518,-17211
ags,55209813,12332,432,-955,-293,-557,-18703
ags,55209838,12676,208,-920,-331,-580,-19618
ags,55209863,12884,51,-969,-335,-562,-19998
ags,55209888,12786,-155,-925,-329,-588,-19787
ags,55209913,12479,-341,-962,-308,-541,-18987
ags,55209938,12020,-558,-930,-276,-502,-17622
ags,55209963,11297,-743,-930,-273,-416,-15771
ags,55209988,10472,-797,-972,-226,-371,-13464
ags,55210013,9822,-1017,-889,-211,-310,-10839
ags,55210038,9134,-1119,-794,-164,-219,-7897
ags,55210063,8724,-1132,-808,-106,-122,-4727
ags,55210088,8514,-1158,-855,-57,-57,-1464
ags,55210113,8524,-1205,-889,-12,23,1847
ags,55210138,8746,-1083,-979,30,91,5093
ags,55210163,9185,-1075,-930,59,193,8234
ags,55210188,9852,-1002,-950,93,268,11125
ags,55210213,10591,-819,-877,148,315,13749
ags,55210238,11334,-663,-952,153,407,15966
ags,55210263,12027,-504,-925,200,449,17761
ags,55210288,12520,-324,-935,184,504,19025
ags,55210313,12840,-58,-1072,221,520,19741
ags,55210338,12933,59,-911,199,536,19887
ags,55210363,12637,318,-930,198,566,19436
ags,55210388,12276,430,-994,159,517,18430
ags,55210413,11697,601,-972,156,475,16889
ags,55210438,10980,757,-862,129,435,14858
ags,55210463,10140,882,-979,75,365,12428
ags,55210488,9407,982,-994,54,285,9626
ags,55210513,8865,1013,-862,56,175,6614
ags,55210538,8526,1060,-816,-53,60,3410
ags,55210563,8353,1150,-813,-70,3,128
ags,55210588,8536,1087,-938,-105,-123,-3142
ags,55210613,8817,999,-974,-157,-236,-6371
ags,55210638,9378,996,-933,-196,-315,-9429
ags,55210663,10093,879,-918,-225,-386,-12209
ags,55210688,10831,774,-957,-275,-444,-14677
ags,55210713,11600,630,-962,-302,-526,-16703
ags,55210738,12188,542,-1021,-325,-546,-18308
ags,55210763,12696,296,-945,-333,-552,-19353
ags,55210788,12886,64,-889,-305,-565,-19868
ags,55210813,12833,-123,-891,-327,-552,-19787
ags,55210838,12562,-389,-891,-308,-539,-19136
ags,55210863,12071,-514,-974,-309,-499,-17889
ags,55210888,11373,-653,-952,-260,-455,-16171
ags,55210913,10684,-831,-942,-268,-385,-14003
ags,55210938,9905,-927,-896,-220,-331,-11421
ags,55210963,9322,-1080,-901,-183,-259,-8645
