
# Curve 0 of 1, 100 points
# Curve title: "p(x)"
# x y type
 6.92526e-310  6.92526e-310  u
 0.020202  1.38526e-11  i
 0.040404  3.27185e-06  i
 0.0606061  0.000201885  i
 0.0808081  0.00158364  i
 0.10101  0.00544369  i
 0.121212  0.0123867  i
 0.141414  0.0222651  i
 0.161616  0.0345369  i
 0.181818  0.0485578  i
 0.20202  0.0637306  i
 0.222222  0.0795595  i
 0.242424  0.0956573  i
 0.262626  0.111734  i
 0.282828  0.127577  i
 0.30303  0.143038  i
 0.323232  0.158015  i
 0.343434  0.172439  i
 0.363636  0.18627  i
 0.383838  0.199487  i
 0.40404  0.21208  i
 0.424242  0.224052  i
 0.444444  0.23541  i
 0.464646  0.246167  i
 0.484848  0.25634  i
 0.505051  0.265947  i
 0.525253  0.275006  i
 0.545455  0.283536  i
 0.565657  0.291557  i
 0.585859  0.299087  i
 0.606061  0.306145  i
 0.626263  0.312748  i
 0.646465  0.318912  i
 0.666667  0.324652  i
 0.686869  0.329984  i
 0.707071  0.334921  i
 0.727273  0.339474  i
 0.747475  0.343657  i
 0.767677  0.347478  i
 0.787879  0.350949  i
 0.808081  0.354077  i
 0.828283  0.35687  i
 0.848485  0.359336  i
 0.868687  0.361481  i
 0.888889  0.36331  i
 0.909091  0.364827  i
 0.929293  0.366036  i
 0.949495  0.36694  i
 0.969697  0.367541  i
 0.989899  0.367842  i
 1.0101  0.367842  i
 1.0303  0.367541  i
 1.05051  0.36694  i
 1.07071  0.366036  i
 1.09091  0.364827  i
 1.11111  0.36331  i
 1.13131  0.361481  i
 1.15152  0.359336  i
 1.17172  0.35687  i
 1.19192  0.354077  i
 1.21212  0.350949  i
 1.23232  0.347478  i
 1.25253  0.343657  i
 1.27273  0.339474  i
 1.29293  0.334921  i
 1.31313  0.329984  i
 1.33333  0.324652  i
 1.35354  0.318912  i
 1.37374  0.312748  i
 1.39394  0.306145  i
 1.41414  0.299087  i
 1.43434  0.291557  i
 1.45455  0.283536  i
 1.47475  0.275006  i
 1.49495  0.265947  i
 1.51515  0.25634  i
 1.53535  0.246167  i
 1.55556  0.23541  i
 1.57576  0.224052  i
 1.59596  0.21208  i
 1.61616  0.199487  i
 1.63636  0.18627  i
 1.65657  0.172439  i
 1.67677  0.158015  i
 1.69697  0.143038  i
 1.71717  0.127577  i
 1.73737  0.111734  i
 1.75758  0.0956573  i
 1.77778  0.0795595  i
 1.79798  0.0637306  i
 1.81818  0.0485578  i
 1.83838  0.0345369  i
 1.85859  0.0222651  i
 1.87879  0.0123867  i
 1.89899  0.00544369  i
 1.91919  0.00158364  i
 1.93939  0.000201885  i
 1.9596  3.27185e-06  i
 1.9798  1.38526e-11  i
 0  0  u

