ags,55742735,7713,1580,-1238,165,55,3293
ags,55742739,7684,1653,-1304,55,40,2644
ags,55742743,7642,1526,-1328,75,2,2011
ags,55742747,7664,1651,-1314,11,-16,1357
ags,55742751,7523,1568,-1148,-37,-27,702
ags,55742755,7593,1648,-1328,-55,-44,66
ags,55742759,7603,1568,-1253,-122,-62,-584
ags,55742763,7630,1563,-1199,-89,-87,-1229
ags,55742767,7532,1631,-1216,-202,-74,-1871
ags,55742771,7613,1590,-1162,-211,-86,-2512
ags,55742775,7708,1550,-1170,-247,-104,-3161
ags,55742779,7774,1619,-1106,-269,-107,-3787
ags,55742783,7798,1590,-1191,-345,-130,-4437
ags,55742787,7903,1599,-1179,-315,-127,-5092
ags,55742791,7955,1550,-1301,-402,-122,-5700
ags,55742795,8035,1555,-1250,-402,-154,-6342
ags,55742799,8165,1524,-1257,-487,-168,-6950
ags,55742803,8243,1546,-1331,-458,-166,-7576
ags,55742807,8367,1526,-1431,-560,-159,-8184
ags,55742811,8380,1565,-1360,-522,-211,-8736
ags,55742815,8541,1521,-1404,-609,-232,-9428
ags,55742819,8714,1445,-1404,-611,-250,-10011
ags,55742823,8890,1529,-1392,-670,-272,-10611
ags,55742827,8956,1507,-1426,-681,-287,-11187
ags,55742831,9166,1546,-1382,-760,-325,-11771
ags,55742835,9334,1526,-1387,-768,-330,-12347
ags,55742839,9464,1502,-1433,-783,-357,-12910
ags,55742843,9576,1375,-1423,-841,-368,-13474
ags,55742847,9759,1436,-1426,-867,-386,-14019
ags,55742851,9959,1455,-1350,-898,-394,-14547
ags,55742855,10147,1360,-1419,-905,-428,-15074
ags,55742859,10291,1419,-1331,-979,-447,-15588
ags,55742863,10540,1406,-1387,-980,-449,-16110
ags,55742867,10765,1365,-1389,-996,-443,-16623
ags,55742871,10904,1397,-1397,-1060,-458,-17090
ags,55742875,11055,1343,-1340,-1072,-463,-17565
ags,55742879,11221,1397,-1355,-1072,-460,-18037
ags,55742883,11519,1275,-1375,-1133,-463,-18484
ags,55742887,11714,1272,-1423,-1121,-455,-18936
ags,55742891,11800,1179,-1355,-1180,-475,-19338
ags,55742895,11976,1238,-1343,-1168,-475,-19755
ags,55742899,12276,1228,-1409,-1232,-481,-20156
ags,55742903,12401,1179,-1545,-1215,-492,-20539
ags,55742907,12579,1145,-1521,-1270,-513,-20919
ags,55742911,12657,1113,-1548,-1272,-489,-21254
ags,55742915,12933,1138,-1609,-1273,-525,-21606
ags,55742919,12969,1077,-1582,-1281,-507,-21933
ags,55742923,13218,1035,-1582,-1360,-570,-22237
ags,55742927,13404,1011,-1492,-1316,-554,-22536
ags,55742931,13397,969,-1687,-1330,-582,-22810
ags,55742935,13653,940,-1668,-1400,-579,-23061
ags,55742939,13887,901,-1685,-1360,-597,-23326
ags,55742943,13912,904,-1631,-1377,-611,-23526
ags,55742947,13941,855,-1565,-1441,-626,-23750
ags,55742951,14080,759,-1602,-1405,-585,-23941
ags,55742955,14329,794,-1614,-1454,-634,-24121
ags,55742959,14302,667,-1492,-1434,-631,-24255
ags,55742963,14483,742,-1524,-1446,-612,-24385
ags,55742967,14442,698,-1585,-1478,-632,-24529
ags,55742971,14410,662,-1506,-1425,-632,-24613
ags,55742975,14590,601,-1538,-1502,-576,-24690
ags,55742979,14637,503,-1570,-1444,-608,-24768
ags,55742983,14642,520,-1421,-1476,-591,-24816
ags,55742987,14625,486,-1687,-1480,-547,-24834
ags,55742991,14654,532,-1646,-1449,-586,-24837
ags,55742995,14693,383,-1619,-1472,-563,-24846
ags,55742999,14617,379,-1592,-1446,-537,-24813
ags,55743003,14644,320,-1680,-1461,-556,-24748
ags,55743007,14652,264,-1626,-1470,-534,-24681
ags,55743011,14512,281,-1765,-1437,-508,-24620
ags,55743015,14581,181,-1597,-1478,-542,-24494
ags,55743019,14444,88,-1597,-1440,-544,-24371
ags,55743023,14290,110,-1763,-1426,-508,-24254
ags,55743027,14307,103,-1707,-1423,-525,-24077
ags,55743031,14193,10,-1677,-1406,-528,-23894
ags,55743035,14073,32,-1585,-1414,-539,-23710
ags,55743039,13987,-49,-1680,-1389,-530,-23510
ags,55743043,13863,-66,-1580,-1364,-537,-23275
ags,55743047,13724,-165,-1719,-1397,-537,-23035
ags,55743051,13665,-199,-1567,-1348,-530,-22764
ags,55743055,13489,-221,-1550,-1328,-516,-22486
ags,55743059,13304,-253,-1563,-1327,-527,-22193
ags,55743063,13111,-363,-1572,-1299,-521,-21884
ags,55743067,13006,-414,-1550,-1283,-502,-21552
ags,55743071,12835,-404,-1499,-1257,-470,-21202
ags,55743075,12647,-443,-1428,-1244,-470,-20851
ags,55743079,12454,-448,-1504,-1218,-438,-20480
